"plant_species","plant_species_code","animal_species","animal_species_code","frequency"
"Miconia_brittonii","P18","Chlorospingus_ophthalmicus","B09",0
"Miconia_brittonii","P18","Cyanocoras_cyanomelas","B10",0
"Miconia_brittonii","P18","Cyanocorax_yncas","B11",0
"Miconia_brittonii","P18","Diglossa_cyanea","B12",0
"Miconia_brittonii","P18","Elaenia_obscura","B13",0
"Miconia_brittonii","P18","Elaenia_pallatangae","B14",0
"Miconia_brittonii","P18","Entomodestes_leucotis","B15",0
"Miconia_brittonii","P18","Eubucco_versicolor","B16",0
"Miconia_brittonii","P18","Euphonia_xanthogaster","B17",0
"Miconia_brittonii","P18","Hapalopsittaca_melanotis","B18",0
"Miconia_brittonii","P18","Lipaugus_uropygialis","B19",0
"Miconia_brittonii","P18","Mionectes_striaticollis","B20",0
"Miconia_brittonii","P18","Parula_pitiayumi","B21",0
"Miconia_brittonii","P18","Patagioenas_fasciata","B22",0
"Miconia_brittonii","P18","Patagioenas_plumbea","B23",0
"Miconia_brittonii","P18","Penelope_montagnii","B24",0
"Miconia_brittonii","P18","Pheucticus_aureoventris","B25",0
"Miconia_brittonii","P18","Phyllomyias_uropygialis","B26",0
"Miconia_brittonii","P18","Pionus_sordidus","B27",0
"Miconia_brittonii","P18","Pionus_tumultuosus","B28",0
"Miconia_brittonii","P18","Pipreola_frontalis","B29",0
"Miconia_brittonii","P18","Pipreola_intermedia","B30",0
"Miconia_brittonii","P18","Psarocolius_decumanus","B31",0
"Miconia_brittonii","P18","Pyrrhura_molinae","B32",0
"Miconia_brittonii","P18","Tangara_vassorii","B33",7
"Miconia_brittonii","P18","Tangara_xantocephala","B34",0
"Miconia_brittonii","P18","Thraupis_cyanocephala","B35",0
"Miconia_brittonii","P18","Thraupis_palmarum","B36",0
"Miconia_brittonii","P18","Thraupis_sayaca","B37",0
"Miconia_brittonii","P18","Trogon_personatus","B38",0
"Miconia_brittonii","P18","Turdus_albicollis","B39",0
"Miconia_brittonii","P18","Turdus_serranus","B40",0
"Miconia_brittonii","P18","Veniliornis_nigriceps","B41",0
"Miconia_cordata ","P19","Anisognathus_igniventris","B01",0
"Miconia_cordata ","P19","Anisognathus_somptuosus","B02",11
"Miconia_cordata ","P19","Aratinga_mitrata","B03",0
"Miconia_cordata ","P19","Atlapetes_rufinucha","B04",0
"Miconia_cordata ","P19","Aulacorhynchus_coeruleicintis","B05",0
"Miconia_cordata ","P19","Catharus_ustulatus","B06",0
"Miconia_cordata ","P19","Chiroxiphia_boliviana","B07",9
"Miconia_cordata ","P19","Chlorophonia_cyanea","B08",0
"Miconia_cordata ","P19","Chlorospingus_ophthalmicus","B09",0
"Miconia_cordata ","P19","Cyanocoras_cyanomelas","B10",0
"Miconia_cordata ","P19","Cyanocorax_yncas","B11",0
"Miconia_cordata ","P19","Diglossa_cyanea","B12",0
"Miconia_cordata ","P19","Elaenia_obscura","B13",0
"Miconia_cordata ","P19","Elaenia_pallatangae","B14",0
"Miconia_cordata ","P19","Entomodestes_leucotis","B15",0
"Miconia_cordata ","P19","Eubucco_versicolor","B16",2
"Miconia_cordata ","P19","Euphonia_xanthogaster","B17",0
"Miconia_cordata ","P19","Hapalopsittaca_melanotis","B18",0
"Miconia_cordata ","P19","Lipaugus_uropygialis","B19",0
"Miconia_cordata ","P19","Mionectes_striaticollis","B20",0
"Miconia_cordata ","P19","Parula_pitiayumi","B21",0
"Miconia_cordata ","P19","Patagioenas_fasciata","B22",0
"Miconia_cordata ","P19","Patagioenas_plumbea","B23",0
"Miconia_cordata ","P19","Penelope_montagnii","B24",0
"Miconia_cordata ","P19","Pheucticus_aureoventris","B25",0
"Miconia_cordata ","P19","Phyllomyias_uropygialis","B26",1
"Miconia_cordata ","P19","Pionus_sordidus","B27",0
"Miconia_cordata ","P19","Pionus_tumultuosus","B28",0
"Miconia_cordata ","P19","Pipreola_frontalis","B29",0
"Miconia_cordata ","P19","Pipreola_intermedia","B30",0
"Miconia_cordata ","P19","Psarocolius_decumanus","B31",0
"Miconia_cordata ","P19","Pyrrhura_molinae","B32",0
"Miconia_cordata ","P19","Tangara_vassorii","B33",14
"Miconia_cordata ","P19","Tangara_xantocephala","B34",0
"Miconia_cordata ","P19","Thraupis_cyanocephala","B35",1
"Miconia_cordata ","P19","Thraupis_palmarum","B36",0
"Miconia_cordata ","P19","Thraupis_sayaca","B37",0
"Miconia_cordata ","P19","Trogon_personatus","B38",0
"Miconia_cordata ","P19","Turdus_albicollis","B39",0
"Miconia_cordata ","P19","Turdus_serranus","B40",0
"Miconia_cordata ","P19","Veniliornis_nigriceps","B41",0
"Miconia_hygrophila","P20","Anisognathus_igniventris","B01",0
"Miconia_hygrophila","P20","Anisognathus_somptuosus","B02",2
"Miconia_hygrophila","P20","Aratinga_mitrata","B03",0
"Miconia_hygrophila","P20","Atlapetes_rufinucha","B04",0
"Miconia_hygrophila","P20","Aulacorhynchus_coeruleicintis","B05",0
"Miconia_hygrophila","P20","Catharus_ustulatus","B06",0
"Miconia_hygrophila","P20","Chiroxiphia_boliviana","B07",0
"Miconia_hygrophila","P20","Chlorophonia_cyanea","B08",0
"Miconia_hygrophila","P20","Chlorospingus_ophthalmicus","B09",8
