Country	Species	KippsIndex	BillLength	BillWidth	Bodymass
Ecuador	Hemithraupis_guira	0.19	14.2	6.8	12
Ecuador	Heterospingus_xanthopygius	0.22	21.3	10.6	38.8
Ecuador	Hylophilus_olivaceus	0.12	13.7	6.9	12
Ecuador	Iridophanes_pulcherrimus	0.26	14.8	7.0	15.3
Ecuador	Iridosornis_analis	0.16	14.6	8.4	26
Ecuador	Iridosornis_rufivertex	0.18	13.8	8.1	23
Ecuador	Lepidocolaptes_lacrymiger	0.24	33.3	9.8	30.6
Ecuador	Lepidothrix_isidorei	0.20	10.6	5.9	7.8
Ecuador	Leptopogon_superciliaris	0.16	15.9	8.1	11.7
Ecuador	Machaeropterus_regulus	0.23	10.8	6.7	9.34
Ecuador	Manacus_manacus	0.16	14.4	9.8	16.7
Ecuador	Mionectes_olivaceus	0.16	18.1	9.2	15.31
Ecuador	Mionectes_striaticollis	0.22	14.3	7.6	15
Ecuador	Myadestes_ralloides	0.21	17.8	12.1	29.1
Ecuador	Myiarchus_cephalotes	0.16	23.8	11.1	26.25
Ecuador	Myioborus_melanocephalus	0.15	14.1	6.6	11.3
Ecuador	Myioborus_miniatus	0.16	12.9	6.0	9
Ecuador	Myiophobus_pulcher	0.17	12.4	7.0	9.5
Ecuador	Myiozetetes_granadensis	0.17	19.5	10.4	29.3
Ecuador	Myiozetetes_similis	0.18	18.9	10.4	28
Ecuador	Ortalis_guttata	0.15	27.3	13.5	547.72
Ecuador	Parula_pitiayumi	0.20	12.3	5.1	6.82
Ecuador	Patagioenas_fasciata	0.36	27.1	11.0	366.3
Ecuador	Patagioenas_plumbea	0.35	22.7	8.1	178.77
Ecuador	Patagioenas_subvinacea	0.35	19.0	7.1	162.48
Ecuador	Penelope_barbata	0.14	32.8	19.4	1179.66
Ecuador	Pharomachrus_auriceps	0.37	30.4	22.5	180
Ecuador	Pionus_menstruus	0.35	23.2	17.0	251
Ecuador	Pipra_erythrocephala	0.20	12.7	9.0	13.43
Ecuador	Pipra_pipra	0.17	13.1	8.8	11.11
Ecuador	Pipraeidea_melanonota	0.26	13.0	7.8	21
Ecuador	Pipreola_arcuata	0.18	26.2	17.6	118
Ecuador	Pipreola_chlorolepidota	0.19	17.5	13.7	29.5
Ecuador	Pipreola_frontalis	0.19	17.6	13.4	42.4
Ecuador	Pipreola_riefferii	0.14	17.0	11.5	49.3
Ecuador	Piranga_leucoptera	0.19	15.3	9.3	16
Ecuador	Pogonotriccus_poecilotis	0.17	14.5	6.7	8
Ecuador	Psarocolius_angustifrons	0.25	50.3	17.3	271.5
Ecuador	Psarocolius_decumanus	0.28	48.5	17.7	206.3
Ecuador	Pyrrhura_albipectus	0.38	17.0	10.8	103.82
Ecuador	Ramphocelus_carbo	0.15	20.4	11.4	25.92
Ecuador	Rupicola_peruvianus	0.12	31.9	20.9	242.5
Ecuador	Saltator_grossus	0.17	22.0	14.2	44.2
Ecuador	Saltator_maximus	0.17	22.7	13.1	47.65
Ecuador	Sayornis_nigricans	0.23	18.3	9.3	18.63
Ecuador	Snowornis_subalaris	0.23	26.2	16.0	81.2
Ecuador	Tachyphonus_cristatus	0.19	15.7	8.1	18.8
Ecuador	Tachyphonus_rufus	0.16	19.5	9.4	34.4
Ecuador	Tachyphonus_surinamus	0.18	15.4	7.9	19
Ecuador	Tangara_arthus	0.22	14.3	8.5	22
Ecuador	Tangara_chilensis	0.23	14.3	7.4	19.77
