Country	Species	meanL	meanD1	meanHeight	CropMass
Peru	Ilex_nervosa	5.0	6.1	10.7	816.4
Peru	Isertia_laevis	10.5	11.6	10.1	1100.5
Peru	Licaria_sp	13.5	11.4	12.7	28.9
Peru	Ligaria_cuneifolia	19.1	11.8	6.0	278.4
Peru	Miconia_affinis	4.4	5.0	6.3	222.6
Peru	Miconia_aprica	3.1	3.2	7.0	333.7
Peru	Miconia_barbeyana	3.5	4.0	3.3	32.6
Peru	Miconia_calvescens	3.8	4.2	4.7	121.4
Peru	Miconia_cyanocarpa	3.4	3.6	4.1	416.3
Peru	Miconia_denticulata	4.3	4.3	3.8	31.4
Peru	Miconia_egensis	1.9	2.2	6.5	76.3
Peru	Miconia_hygrophila	3.3	3.3	4.2	18.4
Peru	Miconia_longifolia	3.7	4.2	12.3	293.3
Peru	Miconia_media	4.5	4.7	6.5	48.6
Peru	Miconia_micropetala	3.3	3.8	6.3	89.5
Peru	Miconia_myriantha	2.9	2.7	7.3	7.9
Peru	Miconia_prasina	3.6	4.4	9.0	64.6
Peru	Miconia_rubens	3.9	4.0	3.8	16.0
Peru	Miconia_sp2	3.8	5.2	7.0	19.0
Peru	Miconia_sp3	7.5	10.1	4.0	488.1
Peru	Miconia_sp6	4.2	4.5	7.1	27.0
Peru	Miconia_spennerostachya	3.9	5.1	5.2	632.4
Peru	Monnina_marginata	6.0	4.2	4.8	17.4
Peru	Morella_pubescens	4.3	3.8	6.8	168.7
Peru	Muehlenbeckia_tamnifolia	2.8	2.5	4.8	39.1
Peru	Myrcia_fallax	8.1	6.2	10.7	544.6
Peru	Myrsine_coriacea	3.1	2.9	2.5	21.7
Peru	Myrteola_phylicoides	4.9	5.2	2.6	23.9
Peru	Neea_sp1	17.7	14.6	4.0	2047.5
Peru	Ocotea_sp	8.4	8.5	12.0	850.0
Peru	Orthaea_boliviensis	4.5	5.6	7.7	32.6
Peru	Palicourea_lineata	5.9	6.3	5.0	114.4
Peru	Palicourea_stipularis	4.9	3.9	6.9	7.9
Peru	Peristethium_polystachyum	6.2	3.7	3.5	139.4
Peru	Pernettya_prostrata	8.4	9.1	2.0	70.0
Peru	Phoradendron_chrysocladon	3.8	3.2	7.0	16.4
Peru	Pleurothyrium_trianae	13.5	10.7	10.8	574.5
Peru	Podocarpus_oleifolius	10.1	4.5	10.4	135.4
Peru	Prunus_integrifolia	9.2	7.4	10.9	416.8
Peru	Ruagea_subviridiflora	33.7	33.4	9.0	1000.7
Peru	Rubus_floribundus	10.2	9.9	5.4	851.0
Peru	Schefflera_mathewsii	8.9	5.2	7.5	1951.3
Peru	Schefflera_penelope	4.3	5.6	9.3	1825.3
Peru	Schefflera_sp2	5.8	4.8	8.0	423.2
Peru	Siparuna_sp	24.3	26.3	3.9	555.0
Peru	Smilax_domingensis	10.7	11.6	7.6	92.5
Peru	Solanum_sp3	17.7	19.0	12.7	3664.8
Peru	Styrax_foveolaria	8.8	6.5	9.4	264.0
Peru	Symplocos_arechea	19.8	12.6	9.8	3650.6
Peru	Thibaudia_crenulata	7.1	7.8	3.1	153.9
Peru	Thibaudia_sp	7.1	9.3	1.5	25.7
Peru	Tibouchina_calycina	6.7	6.6	2.8	3.6
Peru	Trema_micrantha	2.6	2.2	9.1	1.5
Peru	Tripodanthus_acutifolius	8.1	4.9	8.0	276.3
Peru	Turpinia_occidentalis	7.2	8.3	7.2	235.9
Peru	Viburnum_hallii	6.9	6.1	5.5	249.3
Peru	Viburnum_reticulatum	8.4	6.6	7.7	21.7
Peru	Viburnum_seemenii	9.6	6.2	5.4	379.5
Peru	Vismia_gracilis	13.7	10.4	9.5	1087.0
Peru	Zanthoxylum_mantaro	4.6	3.8	6.1	27.9
